id,app,category,rating,review,date,helpful_votes,verified_purchase,device_type,app_version
1,Fieldkit,field research,1,Auto-transcription accuracy on accented speakers is inconsistent. Guest seats should be free — charging for view-only access feels wrong.,2023-03-31,37,True,mobile,2.5.0
2,Fieldkit,field research,2,Search results are slow when the repository is large.,2024-07-28,12,True,mobile,2.5.3
3,Lookback,user research,4,One-click export to Notion is a feature I use every week. Being able to rewatch sessions at 1.5x speed has saved me hours.,2024-03-08,21,True,desktop,5.2.0
4,Dovetail,research repository,5,My whole team can comment on the same session without chaos. Recording quality is excellent even on slow connections.,2023-12-19,38,True,,2.0.0
5,Fieldkit,field research,5,Works offline and syncs when I get back to WiFi — essential for fieldwork.,2024-01-23,5,True,desktop,2.5.3
6,Lookback,user research,5,The guest access feature is perfect for external stakeholders. The session recording is crisp and easy to scrub through.,2024-11-08,14,False,,5.3.1
7,Fieldkit,field research,5,Project folders keep multi-phase studies manageable. PDF reports look professional enough to share with executives.,2023-06-16,23,True,mobile,3.0.0
8,Maze,usability testing,5,I was running my first study within 20 minutes of signing up.,2023-06-25,34,False,,4.1.0
9,Dovetail,research repository,4,The guest access feature is perfect for external stakeholders. CSV export includes everything I need for further analysis.,2023-08-23,2,False,desktop,2.0.0
10,Miro,collaborative whiteboard,3,"Works fine — nothing remarkable, nothing broken.",2024-08-03,45,True,,9.4.0
11,Miro,collaborative whiteboard,4,Screener templates saved me from writing survey questions from scratch. I can tag clips without leaving the playback view.,2024-07-28,34,True,desktop,9.3.0
12,Lookback,user research,4,Battery drain is reasonable even during long observation sessions. Searching by tag across projects actually works reliably.,2024-05-20,5,False,tablet,5.3.1
13,Fieldkit,field research,3,Solid core product with rough edges in the advanced workflows.,2024-11-27,27,True,desktop,
14,Miro,collaborative whiteboard,4,One-click export to Notion is a feature I use every week. I was running my first study within 20 minutes of signing up.,2024-11-27,46,True,mobile,9.4.0
15,Lookback,user research,5,The timeline view across a research program is genuinely useful. The highlight reel feature is genuinely useful for presentations.,2024-04-09,0,False,mobile,
16,Maze,usability testing,5,Custom fields on participants let me filter by screener criteria.,2023-04-19,40,True,mobile,4.2.3
17,Lookback,user research,5,Bulk-tagging across sessions is a huge time saver.,2024-07-06,33,False,mobile,5.2.0
18,Lookback,user research,4,The session recording is crisp and easy to scrub through.,2023-11-11,15,True,mobile,5.3.1
19,Lookback,user research,5,Automatic session indexing makes it easy to find key moments.,2024-06-29,8,True,,5.3.1
20,Miro,collaborative whiteboard,5,Bulk-tagging across sessions is a huge time saver.,2024-09-13,27,False,mobile,9.4.0
21,Lookback,user research,5,The onboarding checklist is paced well — not overwhelming.,2024-02-13,42,True,desktop,5.1.2
22,Miro,collaborative whiteboard,5,CSV export includes everything I need for further analysis. Recording quality is excellent even on slow connections.,2023-01-22,37,True,mobile,9.3.0
23,Lookback,user research,3,Good for solo researchers but team features need more polish.,2024-10-08,3,True,desktop,5.2.0
24,Fieldkit,field research,5,Session recordings sync instantly — no waiting around. Smart folders auto-populate based on tags — surprisingly powerful.,2023-08-08,34,True,,
25,Lookback,user research,5,Tag hierarchies let me keep themes organized across a whole study.,2023-07-14,6,True,mobile,5.1.2
26,Miro,collaborative whiteboard,4,Video clips export cleanly with timecodes intact.,2023-02-25,43,True,desktop,9.4.0
27,Fieldkit,field research,2,No built-in way to generate a structured debrief template from tags. Search results are slow when the repository is large.,2024-04-04,8,True,mobile,2.5.0
28,Maze,usability testing,4,Project folders keep multi-phase studies manageable.,2024-07-17,6,True,desktop,
29,Lookback,user research,5,Being able to rewatch sessions at 1.5x speed has saved me hours. Battery drain is reasonable even during long observation sessions.,2023-08-07,25,False,,5.2.0
30,Dovetail,research repository,4,PDF reports look professional enough to share with executives.,2024-04-10,18,True,mobile,2.1.2
31,Lookback,user research,5,The highlight reel feature is genuinely useful for presentations. The tagging workflow is intuitive once you get used to it.,2024-08-16,47,True,mobile,5.2.0
32,Maze,usability testing,1,Session sharing links occasionally expire before participants click them.,2024-06-27,10,True,tablet,4.2.3
33,Lookback,user research,2,Loading large projects takes noticeably longer than it used to.,2024-11-22,15,True,desktop,5.2.0
34,Lookback,user research,3,"Gets the job done, but the workflow has too many clicks for routine tasks.",2023-02-10,39,True,mobile,5.2.0
35,Lookback,user research,4,Permissions are granular enough that clients can view but not edit. The timeline view across a research program is genuinely useful.,2023-09-02,16,True,mobile,5.1.2
36,Maze,usability testing,4,Project folders keep multi-phase studies manageable. The voice memo feature captures context I'd otherwise lose.,2023-04-13,4,True,desktop,4.0.1
37,Lookback,user research,3,I've used it for two years. It's reliable but not exciting.,2023-03-12,15,True,desktop,5.2.0
38,Dovetail,research repository,4,GPS tagging for field observations is exactly what I needed.,2024-10-31,33,True,,1.8.4
39,Lookback,user research,4,I was running my first study within 20 minutes of signing up.,2023-05-18,16,True,desktop,5.1.2
40,Fieldkit,field research,5,Bulk-tagging across sessions is a huge time saver. Permissions are granular enough that clients can view but not edit.,2023-07-28,43,True,mobile,2.4.1
41,Maze,usability testing,4,My whole team can comment on the same session without chaos. GPS tagging for field observations is exactly what I needed.,2023-02-15,0,True,mobile,4.2.3
42,Dovetail,research repository,5,Sharing clips with stakeholders takes about 30 seconds.,2024-07-18,45,True,desktop,1.8.4
43,Fieldkit,field research,2,Search results are slow when the repository is large. Keyboard shortcuts aren't discoverable — I found them by accident.,2024-07-19,9,True,mobile,
44,Fieldkit,field research,4,Project folders keep multi-phase studies manageable.,2023-08-04,43,True,mobile,2.5.3
45,Fieldkit,field research,4,Battery drain is reasonable even during long observation sessions.,2023-06-08,15,False,mobile,3.0.0
46,Dovetail,research repository,5,Being able to rewatch sessions at 1.5x speed has saved me hours.,2023-12-07,26,False,tablet,
47,Dovetail,research repository,3,Setup was smooth; ongoing use has revealed some rough edges.,2023-04-21,24,False,mobile,1.9.0
48,Miro,collaborative whiteboard,3,Good enough for most projects but I always end up exporting to a spreadsheet anyway.,2023-12-25,19,False,desktop,
49,Dovetail,research repository,3,"Strong on data collection, weaker on synthesis.",2023-07-17,25,True,mobile,
50,Fieldkit,field research,5,Permissions are granular enough that clients can view but not edit.,2024-02-14,43,False,tablet,2.5.0
51,Lookback,user research,4,The session recording is crisp and easy to scrub through.,2023-09-25,11,True,desktop,5.3.1
52,Maze,usability testing,1,Session sharing links occasionally expire before participants click them. No dark mode — surprising for a tool used in low-light observation settings.,2024-09-12,32,True,mobile,
53,Lookback,user research,3,"Does what it says, though the interface feels dated.",2024-03-22,0,True,,5.2.0
54,Lookback,user research,5,The onboarding checklist is paced well — not overwhelming. Recording quality is excellent even on slow connections.,2024-09-30,20,True,desktop,5.3.1
55,Fieldkit,field research,5,The guest access feature is perfect for external stakeholders. GPS tagging for field observations is exactly what I needed.,2024-02-17,44,True,desktop,
56,Dovetail,research repository,3,"Strong on data collection, weaker on synthesis.",2024-01-24,43,False,desktop,2.0.0
57,Dovetail,research repository,5,Real-time co-editing on affinity diagrams is surprisingly smooth.,2023-01-01,19,True,mobile,1.9.0
58,Miro,collaborative whiteboard,5,GPS tagging for field observations is exactly what I needed.,2024-03-28,43,True,mobile,
59,Miro,collaborative whiteboard,5,Custom fields on participants let me filter by screener criteria.,2023-10-18,32,True,mobile,9.3.0
60,Lookback,user research,4,Custom fields on participants let me filter by screener criteria.,2023-08-19,12,True,mobile,5.2.0
61,Fieldkit,field research,3,Good enough for most projects but I always end up exporting to a spreadsheet anyway.,2024-09-17,4,True,mobile,3.0.0
62,Lookback,user research,3,Setup was smooth; ongoing use has revealed some rough edges.,2024-01-29,31,True,tablet,5.1.2
63,Dovetail,research repository,5,The session recording is crisp and easy to scrub through.,2023-08-13,11,False,tablet,2.1.2
64,Lookback,user research,4,The mobile app doesn't crash when I switch between apps mid-session.,2023-05-05,29,True,tablet,
65,Miro,collaborative whiteboard,5,The voice memo feature captures context I'd otherwise lose. One-click export to Notion is a feature I use every week.,2024-05-31,27,False,desktop,9.3.0
66,Lookback,user research,4,Tag hierarchies let me keep themes organized across a whole study.,2023-09-11,40,True,mobile,5.3.1
67,Lookback,user research,4,Bulk-tagging across sessions is a huge time saver.,2023-10-20,15,True,mobile,5.3.1
68,Maze,usability testing,5,Being able to rewatch sessions at 1.5x speed has saved me hours. The mobile app doesn't crash when I switch between apps mid-session.,2023-08-08,4,True,desktop,4.0.1
69,Maze,usability testing,4,CSV export includes everything I need for further analysis. Battery drain is reasonable even during long observation sessions.,2024-08-21,44,True,desktop,4.2.3
70,Lookback,user research,4,Recording quality is excellent even on slow connections. Battery drain is reasonable even during long observation sessions.,2024-07-05,47,False,mobile,5.1.2
71,Lookback,user research,5,The highlight reel feature is genuinely useful for presentations. Works offline and syncs when I get back to WiFi — essential for fieldwork.,2024-02-03,21,True,tablet,5.3.1
72,Miro,collaborative whiteboard,5,Smart folders auto-populate based on tags — surprisingly powerful.,2024-09-29,34,True,,9.3.0
73,Miro,collaborative whiteboard,5,I was running my first study within 20 minutes of signing up. The highlight reel feature is genuinely useful for presentations.,2024-04-17,11,True,desktop,9.2.1
74,Miro,collaborative whiteboard,4,PDF reports look professional enough to share with executives. GPS tagging for field observations is exactly what I needed.,2024-03-07,16,False,desktop,9.3.0
75,Miro,collaborative whiteboard,1,I've lost tags twice after a session due to a sync issue.,2023-12-25,14,True,desktop,
76,Fieldkit,field research,5,I can tag clips without leaving the playback view.,2024-09-28,9,True,desktop,
77,Miro,collaborative whiteboard,5,The mobile app doesn't crash when I switch between apps mid-session.,2023-09-20,23,True,desktop,9.2.1
78,Lookback,user research,5,I was running my first study within 20 minutes of signing up.,2023-06-17,19,True,mobile,5.3.1
79,Fieldkit,field research,5,Battery drain is reasonable even during long observation sessions. Custom fields on participants let me filter by screener criteria.,2023-03-19,37,True,mobile,2.5.3
80,Dovetail,research repository,2,The Figma integration is read-only; I can't push annotations back.,2024-08-02,2,True,desktop,1.8.4
81,Miro,collaborative whiteboard,5,Session recordings sync instantly — no waiting around.,2023-01-13,26,False,desktop,9.2.1
82,Fieldkit,field research,4,Real-time co-editing on affinity diagrams is surprisingly smooth.,2024-03-21,11,False,mobile,
83,Maze,usability testing,5,Battery drain is reasonable even during long observation sessions.,2024-08-29,17,True,,4.2.3
84,Dovetail,research repository,5,Recording quality is excellent even on slow connections.,2023-09-07,29,True,mobile,1.9.0
85,Miro,collaborative whiteboard,4,PDF reports look professional enough to share with executives. Bulk-tagging across sessions is a huge time saver.,2023-09-22,21,True,mobile,
86,Lookback,user research,5,The guest access feature is perfect for external stakeholders. The tagging workflow is intuitive once you get used to it.,2023-09-05,46,True,mobile,5.2.0
87,Lookback,user research,5,Screener templates saved me from writing survey questions from scratch.,2024-05-17,28,False,,5.2.0
88,Fieldkit,field research,4,The highlight reel feature is genuinely useful for presentations. Template library covers most of my research formats out of the box.,2024-04-29,35,True,mobile,2.5.3
89,Miro,collaborative whiteboard,5,GPS tagging for field observations is exactly what I needed. PDF reports look professional enough to share with executives.,2023-11-10,16,True,desktop,9.4.0
90,Dovetail,research repository,4,The help docs are actually written by people who do research.,2023-07-09,12,True,mobile,2.0.0
91,Miro,collaborative whiteboard,4,The voice memo feature captures context I'd otherwise lose.,2023-04-13,12,True,desktop,9.3.0
92,Maze,usability testing,3,"Does what it says, though the interface feels dated.",2024-06-30,8,True,desktop,4.1.0
93,Fieldkit,field research,4,The onboarding checklist is paced well — not overwhelming.,2024-05-17,6,False,tablet,2.5.0
94,Lookback,user research,4,Video clips export cleanly with timecodes intact. Recording quality is excellent even on slow connections.,2024-05-04,7,False,desktop,5.1.2
95,Miro,collaborative whiteboard,4,Works offline and syncs when I get back to WiFi — essential for fieldwork. Template library covers most of my research formats out of the box.,2023-03-29,15,True,desktop,9.4.0
96,Miro,collaborative whiteboard,5,Being able to link observations to specific interview questions is great. Battery drain is reasonable even during long observation sessions.,2024-04-06,28,True,mobile,9.3.0
97,Lookback,user research,5,The guest access feature is perfect for external stakeholders.,2024-09-16,47,True,desktop,
98,Dovetail,research repository,5,My whole team can comment on the same session without chaos. Searching by tag across projects actually works reliably.,2023-03-18,10,True,tablet,2.0.0
99,Miro,collaborative whiteboard,5,PDF reports look professional enough to share with executives. Permissions are granular enough that clients can view but not edit.,2024-04-09,4,True,tablet,9.4.0
100,Maze,usability testing,5,The help docs are actually written by people who do research.,2023-07-22,27,True,,4.2.3
101,Dovetail,research repository,5,Sharing clips with stakeholders takes about 30 seconds. Bulk-tagging across sessions is a huge time saver.,2024-09-01,47,False,mobile,2.1.2
102,Maze,usability testing,4,PDF reports look professional enough to share with executives.,2023-10-06,32,True,,4.1.0
103,Miro,collaborative whiteboard,2,Storage limits hit quickly when you're recording long sessions.,2024-09-10,16,True,desktop,
104,Dovetail,research repository,5,Being able to link observations to specific interview questions is great.,2023-01-22,43,False,mobile,
105,Lookback,user research,1,Video processing sometimes takes longer than the session itself.,2024-03-28,17,True,mobile,
106,Lookback,user research,4,Smart folders auto-populate based on tags — surprisingly powerful.,2024-04-26,22,True,mobile,5.3.1
107,Maze,usability testing,5,Custom fields on participants let me filter by screener criteria. Screener templates saved me from writing survey questions from scratch.,2023-10-23,42,False,mobile,4.2.3
108,Lookback,user research,1,No way to pay monthly — annual commitment only is a dealbreaker for some. Video processing sometimes takes longer than the session itself.,2024-06-10,0,True,mobile,
109,Lookback,user research,4,Being able to rewatch sessions at 1.5x speed has saved me hours.,2024-09-29,31,True,mobile,
110,Fieldkit,field research,3,Reasonable feature set — the UX of the tool itself could use some research.,2023-05-15,18,True,desktop,2.5.3
111,Miro,collaborative whiteboard,2,The browser extension stops recording silently sometimes.,2023-11-15,35,True,desktop,9.1.0
112,Miro,collaborative whiteboard,2,Storage limits hit quickly when you're recording long sessions.,2024-10-25,9,True,mobile,
113,Maze,usability testing,4,Real-time co-editing on affinity diagrams is surprisingly smooth.,2024-04-28,15,True,tablet,4.1.0
114,Dovetail,research repository,4,The voice memo feature captures context I'd otherwise lose.,2023-05-20,4,True,mobile,1.8.4
115,Miro,collaborative whiteboard,4,Being able to link observations to specific interview questions is great. Recording quality is excellent even on slow connections.,2023-11-02,37,True,mobile,
116,Miro,collaborative whiteboard,5,One-click export to Notion is a feature I use every week.,2023-12-07,35,False,tablet,9.2.1
117,Miro,collaborative whiteboard,4,Sharing clips with stakeholders takes about 30 seconds.,2023-09-02,36,True,mobile,9.3.0
118,Miro,collaborative whiteboard,1,"The difference between clips, highlights, and moments isn't obvious at first.",2024-11-10,41,False,desktop,9.4.0
119,Miro,collaborative whiteboard,5,Searching by tag across projects actually works reliably.,2023-12-06,6,False,,9.2.1
120,Miro,collaborative whiteboard,2,The tag hierarchy system takes a few sessions to really click.,2024-02-24,41,False,mobile,9.1.0
121,Fieldkit,field research,4,Permissions are granular enough that clients can view but not edit.,2024-02-12,41,True,mobile,3.0.0
122,Maze,usability testing,5,Being able to link observations to specific interview questions is great. Real-time co-editing on affinity diagrams is surprisingly smooth.,2024-07-08,2,True,mobile,4.1.0
123,Dovetail,research repository,5,Sharing clips with stakeholders takes about 30 seconds.,2024-03-20,6,False,mobile,
124,Fieldkit,field research,4,Template library covers most of my research formats out of the box.,2023-02-17,20,False,mobile,3.0.0
125,Maze,usability testing,4,The highlight reel feature is genuinely useful for presentations. The voice memo feature captures context I'd otherwise lose.,2024-11-29,11,True,mobile,4.0.1
126,Fieldkit,field research,5,One-click export to Notion is a feature I use every week.,2024-05-24,37,True,desktop,2.4.1
127,Miro,collaborative whiteboard,5,PDF reports look professional enough to share with executives.,2024-04-21,18,True,,9.3.0
128,Dovetail,research repository,2,The Figma integration is read-only; I can't push annotations back. Undo doesn't work in the affinity diagram view — a real problem.,2024-04-12,19,True,desktop,2.0.0
129,Miro,collaborative whiteboard,5,Being able to rewatch sessions at 1.5x speed has saved me hours. One-click export to Notion is a feature I use every week.,2023-10-30,44,True,mobile,
130,Miro,collaborative whiteboard,4,Works offline and syncs when I get back to WiFi — essential for fieldwork.,2024-05-23,18,False,mobile,9.1.0
131,Dovetail,research repository,5,Sharing clips with stakeholders takes about 30 seconds.,2024-09-27,16,True,tablet,2.1.2
132,Dovetail,research repository,5,I was running my first study within 20 minutes of signing up. CSV export includes everything I need for further analysis.,2024-08-16,23,False,tablet,
133,Fieldkit,field research,5,Real-time co-editing on affinity diagrams is surprisingly smooth. Searching by tag across projects actually works reliably.,2024-01-10,33,True,mobile,
134,Maze,usability testing,5,Real-time co-editing on affinity diagrams is surprisingly smooth.,2023-10-30,47,False,tablet,4.0.1
135,Fieldkit,field research,4,Being able to rewatch sessions at 1.5x speed has saved me hours.,2023-08-20,43,False,tablet,
136,Miro,collaborative whiteboard,5,Being able to link observations to specific interview questions is great. CSV export includes everything I need for further analysis.,2023-09-28,34,True,desktop,9.2.1
137,Maze,usability testing,5,Template library covers most of my research formats out of the box.,2024-10-15,23,True,desktop,4.0.1
138,Dovetail,research repository,4,The voice memo feature captures context I'd otherwise lose. The onboarding checklist is paced well — not overwhelming.,2024-10-25,4,True,tablet,
139,Miro,collaborative whiteboard,5,Real-time co-editing on affinity diagrams is surprisingly smooth. The session recording is crisp and easy to scrub through.,2023-11-08,31,True,mobile,9.2.1
140,Dovetail,research repository,5,Tag hierarchies let me keep themes organized across a whole study.,2024-11-17,47,True,mobile,1.9.0
141,Lookback,user research,4,The onboarding checklist is paced well — not overwhelming.,2024-11-01,6,False,desktop,5.1.2
142,Lookback,user research,4,My whole team can comment on the same session without chaos.,2023-08-11,28,True,,5.3.1
143,Dovetail,research repository,5,Recording quality is excellent even on slow connections.,2024-10-22,22,True,mobile,
144,Maze,usability testing,3,Good for solo researchers but team features need more polish.,2024-04-10,5,True,desktop,4.0.1
145,Lookback,user research,5,Recording quality is excellent even on slow connections. The guest access feature is perfect for external stakeholders.,2023-07-30,4,False,desktop,5.3.1
146,Lookback,user research,3,"Works fine — nothing remarkable, nothing broken.",2023-08-27,21,False,desktop,5.1.2
147,Lookback,user research,1,The analysis view gets sluggish with more than 200 tagged clips.,2023-06-28,7,True,,
148,Fieldkit,field research,2,Auto-transcription accuracy on accented speakers is inconsistent.,2023-01-17,11,True,desktop,2.5.0
149,Dovetail,research repository,5,Works offline and syncs when I get back to WiFi — essential for fieldwork.,2024-05-02,28,False,,
150,Lookback,user research,5,One-click export to Notion is a feature I use every week. I was running my first study within 20 minutes of signing up.,2024-11-05,33,True,tablet,5.1.2
151,Fieldkit,field research,2,"The difference between clips, highlights, and moments isn't obvious at first.",2023-04-21,31,True,,2.4.1
152,Miro,collaborative whiteboard,2,No way to pay monthly — annual commitment only is a dealbreaker for some.,2023-03-09,8,True,mobile,
153,Lookback,user research,4,Real-time co-editing on affinity diagrams is surprisingly smooth.,2024-06-27,18,True,mobile,
154,Lookback,user research,4,Project folders keep multi-phase studies manageable.,2024-10-28,35,False,tablet,5.3.1
155,Dovetail,research repository,4,Tag hierarchies let me keep themes organized across a whole study. Battery drain is reasonable even during long observation sessions.,2024-03-01,46,True,desktop,
156,Miro,collaborative whiteboard,4,Permissions are granular enough that clients can view but not edit.,2024-04-30,4,True,mobile,
157,Fieldkit,field research,2,No way to pay monthly — annual commitment only is a dealbreaker for some.,2024-07-23,3,True,desktop,2.5.3
158,Lookback,user research,4,I was running my first study within 20 minutes of signing up.,2024-11-12,27,False,mobile,5.1.2
159,Fieldkit,field research,5,GPS tagging for field observations is exactly what I needed. The help docs are actually written by people who do research.,2023-08-06,9,True,desktop,2.5.0
160,Dovetail,research repository,5,The guest access feature is perfect for external stakeholders. One-click export to Notion is a feature I use every week.,2023-08-20,27,False,tablet,1.8.4
161,Lookback,user research,5,The help docs are actually written by people who do research. The timeline view across a research program is genuinely useful.,2023-01-30,11,True,mobile,5.3.1
162,Maze,usability testing,5,My whole team can comment on the same session without chaos. Searching by tag across projects actually works reliably.,2024-11-04,25,True,,4.1.0
163,Fieldkit,field research,2,The browser extension stops recording silently sometimes.,2024-04-09,21,True,desktop,2.4.1
164,Maze,usability testing,5,Being able to link observations to specific interview questions is great.,2023-02-23,9,True,mobile,
